sentence,ID,clean sentence
"The Spanish government source said the 30-billion euro provisions would have an impact in capital of about 20 billion which, added to another estimated 20 billion euros to rescue systemic lender Bankia SA and other smaller banks would make up the figure investors viewed as necessary.",3JMQI2OLFZ6ZDU99C032ZLVYLXBNDL,"The Spanish government source said the 30-billion euro provisions would have an impact in capital of about 20 billion which, added to another estimated 20 billion euros to rescue systemic lender Bankia SA and other smaller banks would make up the figure investors viewed as necessary."
"Western powers have no appetite for a repeat of the military intervention that helped Libyan rebels topple long-time ruler Moammar Gadhafi last year, and Moscow says arming Assad's opponents would only lead to years of inconclusive bloodshed.",3S8APUMBJXKUA5Y80GTJWQYPGLDBFV,"Western powers have no appetite for a repeat of the military intervention that helped Libyan rebels topple long-time ruler Moammar Gadhafi last year, and Moscow says arming Assad's opponents would only lead to years of inconclusive bloodshed."
"Fierce clashes between Syrian regime forces and armed rebels in the central city of Rastan on Monday left at least 23 soldiers dead and dozens wounded, the Syrian Observatory for Human Rights said.",3S8APUMBJXKUA5Y80GTJWQYPGLDBFV,"Fierce clashes between Syrian regime forces and armed rebels in the central city of Rastan on Monday left at least 23 soldiers dead and dozens wounded, the Syrian Observatory for Human Rights said."
"The Britain-based monitoring group said initial reports indicated that three troop carriers were destroyed in the clashes that began at dawn on the outskirts of the rebel-held city, located in Homs province.",3S8APUMBJXKUA5Y80GTJWQYPGLDBFV,"The Britain-based monitoring group said initial reports indicated that three troop carriers were destroyed in the clashes that began at dawn on the outskirts of the rebel-held city, located in Homs province."
A lieutenant who had defected was also killed in the clashes.,3S8APUMBJXKUA5Y80GTJWQYPGLDBFV,A lieutenant who had defected was also killed in the clashes.
Regime forces launched an offensive on Rastan at the weekend but met with sharp resistance from rebels seeking the ouster of the regime of President Bashar al-Assad.,3S8APUMBJXKUA5Y80GTJWQYPGLDBFV,Regime forces launched an offensive on Rastan at the weekend but met with sharp resistance from rebels seeking the ouster of the regime of President Bashar al-Assad.
"However, after the trip, presumptive Republican presidential nominee Mitt Romney struck a somewhat somber tone in a press release.",3JY0Q5X05J7WFM2ERMRFFMPYXD5GGG,"However, after the trip, presumptive Republican presidential nominee Mitt Romney struck a somewhat somber tone in a press release."
I am pleased that President Obama has returned to Afghanistan.,3JY0Q5X05J7WFM2ERMRFFMPYXD5GGG,I am pleased that President Obama has returned to Afghanistan.
Our troops and the American people deserve to hear from our President about what is at stake in this war.,3JY0Q5X05J7WFM2ERMRFFMPYXD5GGG,Our troops and the American people deserve to hear from our President about what is at stake in this war.
Success in Afghanistan is vital to our nation's security.,3JY0Q5X05J7WFM2ERMRFFMPYXD5GGG,Success in Afghanistan is vital to our nation's security.
"It would be a tragedy for Afghanistan and a strategic setback for America if the Taliban returned to power and once again created a sanctuary for terrorists, Romney said in the release.",3JY0Q5X05J7WFM2ERMRFFMPYXD5GGG,"It would be a tragedy for Afghanistan and a strategic setback for America if the Taliban returned to power and once again created a sanctuary for terrorists, Romney said in the release."
"It would be a tragedy for Afghanistan and a strategic setback for America if the Taliban returned to power and once again created a sanctuary for terrorists,"" Romney said in the release.",3JY0Q5X05J7WFM2ERMRFFMPYXD5GGG,"It would be a tragedy for Afghanistan and a strategic setback for America if the Taliban returned to power and once again created a sanctuary for terrorists,"" Romney said in the release."
"We tolerated such a sanctuary until we lost thousands on September 11, 2001.",3JY0Q5X05J7WFM2ERMRFFMPYXD5GGG,"We tolerated such a sanctuary until we lost thousands on September 11, 2001."
Many brave Americans have sacrificed everything so that we could win this fight for a more secure future.,3JY0Q5X05J7WFM2ERMRFFMPYXD5GGG,Many brave Americans have sacrificed everything so that we could win this fight for a more secure future.
The injured man was able to drive his car to Cloverhill Prison where he summoned assistance.,3J94SKDEKIQVN533807G54VCVPED5F,The injured man was able to drive his car to Cloverhill Prison where he summoned assistance.
"He was taken to Tallaght General Hospital, his injuries are not thought to be life threatening.",3J94SKDEKIQVN533807G54VCVPED5F,"He was taken to Tallaght General Hospital, his injuries are not thought to be life threatening."
Witnesses at the scene of the shooting describe a silver saloon car leaving the area.,3J94SKDEKIQVN533807G54VCVPED5F,Witnesses at the scene of the shooting describe a silver saloon car leaving the area.
"At about 11.30 pm a silver car was discovered on fire at Golden Bridge Terrace, Inchicore.",3J94SKDEKIQVN533807G54VCVPED5F,"At about 11.30 pm a silver car was discovered on fire at Golden Bridge Terrace, Inchicore."
The car has been removed from the scene for forensic technical examination.,3J94SKDEKIQVN533807G54VCVPED5F,The car has been removed from the scene for forensic technical examination.
Gardai are asking anyone who was in the Sarsfield Road area of Ballyfermot or in the Golden Bridge Terrace area to contact them on 01 666 7200.,3J94SKDEKIQVN533807G54VCVPED5F,Gardai are asking anyone who was in the Sarsfield Road area of Ballyfermot or in the Golden Bridge Terrace area to contact them on 01 666 7200.
Ex-Soviet leader Mikhail Gorbachev says Russian authorities must annul the parliamentary vote results and hold a new election.,3J94SKDEKIQVN533807G54VCVPED5F,Ex-Soviet leader Mikhail Gorbachev says Russian authorities must annul the parliamentary vote results and hold a new election.
He said most of the village's residents had fled and regime forces were setting fire to houses and looting shops.,3WRBLBQ2GR9Z4IRTDK2CUU2IR9J0GR,He said most of the village's residents had fled and regime forces were setting fire to houses and looting shops.
"He and the Observatory also reported shelling in a nearby village, Hayaleen.",3WRBLBQ2GR9Z4IRTDK2CUU2IR9J0GR,"He and the Observatory also reported shelling in a nearby village, Hayaleen."
"The regime is trying to punish these villages and to put an end to this revolution as quickly as it can,"" he said.",3WRBLBQ2GR9Z4IRTDK2CUU2IR9J0GR,"The regime is trying to punish these villages and to put an end to this revolution as quickly as it can,"" he said."
"The regime is trying to punish these villages and to put an end to this revolution as quickly as it can, he said.",3WRBLBQ2GR9Z4IRTDK2CUU2IR9J0GR,"The regime is trying to punish these villages and to put an end to this revolution as quickly as it can, he said."
"In northern Lebanon, meanwhile, residents said running gunbattles broke out in the city Saturday and continued through Sunday morning, primarily between a neighborhood populated by Sunni Muslims opposed to Assad and another area with many Assad backers from his Alawite sect.",3WRBLBQ2GR9Z4IRTDK2CUU2IR9J0GR,"In northern Lebanon, meanwhile, residents said running gunbattles broke out in the city Saturday and continued through Sunday morning, primarily between a neighborhood populated by Sunni Muslims opposed to Assad and another area with many Assad backers from his Alawite sect."
"The fighting highlights how easily trouble in Syria can raise tensions in neighboring Lebanon, with which it shares a complex web of political and sectarian ties and rivalries.",3WRBLBQ2GR9Z4IRTDK2CUU2IR9J0GR,"The fighting highlights how easily trouble in Syria can raise tensions in neighboring Lebanon, with which it shares a complex web of political and sectarian ties and rivalries."
“Duck and cover here at the embassy.,3B9J25CZ25EMOFV0K0PDE9NMN8MCSP,“Duck and cover here at the embassy.
"Not a drill -- avoid the area,” the U.S. embassy said on Twitter.",3B9J25CZ25EMOFV0K0PDE9NMN8MCSP,"Not a drill -- avoid the area,” the U.S. embassy said on Twitter."
"Karzai said the U.S. pact “is not threatening any third country, including the neighboring countries, but we are hoping that this leads to stability, prosperity and development in the region.”",3B9J25CZ25EMOFV0K0PDE9NMN8MCSP,"Karzai said the U.S. pact “is not threatening any third country, including the neighboring countries, but we are hoping that this leads to stability, prosperity and development in the region.”"
"“Neither Americans nor the Afghan people asked for this war, yet for a decade we’ve stood together,” Obama said at the signing ceremony.",3B9J25CZ25EMOFV0K0PDE9NMN8MCSP,"“Neither Americans nor the Afghan people asked for this war, yet for a decade we’ve stood together,” Obama said at the signing ceremony."
“We look forward to a future of peace.,3B9J25CZ25EMOFV0K0PDE9NMN8MCSP,“We look forward to a future of peace.
"We’re agreeing to be long-term partners,” said Obama, who later headed home aboard Air Force One after just six hours on the ground.",3B9J25CZ25EMOFV0K0PDE9NMN8MCSP,"We’re agreeing to be long-term partners,” said Obama, who later headed home aboard Air Force One after just six hours on the ground."
"The pact, agreed last month, sees the possibility of American forces staying behind to train Afghan forces and pursue the remnants of al-Qaeda for 10 years after 2014.",3B9J25CZ25EMOFV0K0PDE9NMN8MCSP,"The pact, agreed last month, sees the possibility of American forces staying behind to train Afghan forces and pursue the remnants of al-Qaeda for 10 years after 2014."
"Putin officially registered on Wednesday to run for the presidency in March, but the unusually sustained protests of the past two days showed the indignation of the Russian opposition and suggested his drive to retake the job he held from 2000-2008 may not go as smoothly as expected.",3PZDSVZ3J5IMDYQGJP29WH1S9XLN42,"Putin officially registered on Wednesday to run for the presidency in March, but the unusually sustained protests of the past two days showed the indignation of the Russian opposition and suggested his drive to retake the job he held from 2000-2008 may not go as smoothly as expected."
"The Russian Union of Journalists on Wednesday condemned police violence and called for a probe into the dozens of attacks and arrests of journalists, describing them as ""an attempt to gag and intimidate society.""",3PZDSVZ3J5IMDYQGJP29WH1S9XLN42,"The Russian Union of Journalists on Wednesday condemned police violence and called for a probe into the dozens of attacks and arrests of journalists, describing them as ""an attempt to gag and intimidate society."""
"More opposition rallies were expected Wednesday, along with a pro-Putin gathering in central Moscow that had attracted a few hundred people so far.",3PZDSVZ3J5IMDYQGJP29WH1S9XLN42,"More opposition rallies were expected Wednesday, along with a pro-Putin gathering in central Moscow that had attracted a few hundred people so far."
"Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has strongly overshadowed all other political forces in Russia for the past dozen years and earned a reputation for corruption.",3PZDSVZ3J5IMDYQGJP29WH1S9XLN42,"Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has strongly overshadowed all other political forces in Russia for the past dozen years and earned a reputation for corruption."
The assault raises fresh concern about the resilience of the insurgency on the anniversary of Osama bin Laden's death as NATO winds down its combat presence in the next two years and hands over responsibility for security to Afghan forces.,3Z33IC0JC0N0I9512BKRN66LGRD9VA,The assault raises fresh concern about the resilience of the insurgency on the anniversary of Osama bin Laden's death as NATO winds down its combat presence in the next two years and hands over responsibility for security to Afghan forces.
"The Taliban said the assault was a riposte to Obama, who just hours earlier signed a new partnership pact in Kabul to govern Afghan-US relations after 2014 -- a deal the insurgents dismissed as ""illegitimate"".",3Z33IC0JC0N0I9512BKRN66LGRD9VA,"The Taliban said the assault was a riposte to Obama, who just hours earlier signed a new partnership pact in Kabul to govern Afghan-US relations after 2014 -- a deal the insurgents dismissed as ""illegitimate""."
"In an election-year address, Obama presented himself as a commander-in-chief capable of ending two long wars, following the US withdrawal from Iraq, and crushing Al-Qaeda, and tried to conjure up a new dawn for a US public exhausted by conflict and recession.",3Z33IC0JC0N0I9512BKRN66LGRD9VA,"In an election-year address, Obama presented himself as a commander-in-chief capable of ending two long wars, following the US withdrawal from Iraq, and crushing Al-Qaeda, and tried to conjure up a new dawn for a US public exhausted by conflict and recession."
"This time of war began in Afghanistan, and this is where it will end, Obama said, recalling a decade-long ""dark cloud of war"" after bin Laden plotted the September 11 attacks in 2001.",3Z33IC0JC0N0I9512BKRN66LGRD9VA,"This time of war began in Afghanistan, and this is where it will end, Obama said, recalling a decade-long ""dark cloud of war"" after bin Laden plotted the September 11 attacks in 2001."
"Dozens more were wounded in Monday's violence, the UK-based Syrian Observatory for Human Rights said.",3TKXBROM5TBK2FYAPGCLXBUU4IEIJE,"Dozens more were wounded in Monday's violence, the UK-based Syrian Observatory for Human Rights said."
"Opposition sources also said the army had shelled the town, which they say has been under rebel control since January.",3TKXBROM5TBK2FYAPGCLXBUU4IEIJE,"Opposition sources also said the army had shelled the town, which they say has been under rebel control since January."
Nine people were reportedly killed in the bombardment.,3TKXBROM5TBK2FYAPGCLXBUU4IEIJE,Nine people were reportedly killed in the bombardment.
Shells and rockets have been hitting the town since 3am (12:00 GMT) at a rate of one a minute.,3TKXBROM5TBK2FYAPGCLXBUU4IEIJE,Shells and rockets have been hitting the town since 3am (12:00 GMT) at a rate of one a minute.
"Rastan has been destroyed,"" a member of the opposition Free Syrian Army in Rastan who declined to be named told Reuters news agency by satellite phone.",3TKXBROM5TBK2FYAPGCLXBUU4IEIJE,"Rastan has been destroyed,"" a member of the opposition Free Syrian Army in Rastan who declined to be named told Reuters news agency by satellite phone."
"Al Jazeera's Rula Amin, reporting from Beirut in neighbouring Lebanon, said three armoured vehicles carrying government troops had been attacked as they were heading to Rastan, in Homs province.",3TKXBROM5TBK2FYAPGCLXBUU4IEIJE,"Al Jazeera's Rula Amin, reporting from Beirut in neighbouring Lebanon, said three armoured vehicles carrying government troops had been attacked as they were heading to Rastan, in Homs province."
"Rastan is a strategic town and a stronghold of the Free Syrian Army, she said.",3TKXBROM5TBK2FYAPGCLXBUU4IEIJE,"Rastan is a strategic town and a stronghold of the Free Syrian Army, she said."
Lebanon's national news agency NNA said one soldier was shot dead by a sniper in the city early Sunday.,3PUOXASB574HRTAB389U8CJH5379Z1,Lebanon's national news agency NNA said one soldier was shot dead by a sniper in the city early Sunday.
Another man was found dead on the side of a road while a third died after a shell landed in a residential neighborhood.,3PUOXASB574HRTAB389U8CJH5379Z1,Another man was found dead on the side of a road while a third died after a shell landed in a residential neighborhood.
"An Associated Press reporter in Tripoli said the Lebanese army sent reinforcements to the city, but that intermittent clashes continued Sunday with gunmen shooting at each other with automatic rifles.",3PUOXASB574HRTAB389U8CJH5379Z1,"An Associated Press reporter in Tripoli said the Lebanese army sent reinforcements to the city, but that intermittent clashes continued Sunday with gunmen shooting at each other with automatic rifles."
"Heavier weapons, like rocket-propelled grenades, have also been fired.",3PUOXASB574HRTAB389U8CJH5379Z1,"Heavier weapons, like rocket-propelled grenades, have also been fired."
"Lebanon is sharply split along sectarian lines, with 18 religious sects.",3PUOXASB574HRTAB389U8CJH5379Z1,"Lebanon is sharply split along sectarian lines, with 18 religious sects."
But it also has a fragile political fault line precisely over the issue of Syria.,3PUOXASB574HRTAB389U8CJH5379Z1,But it also has a fragile political fault line precisely over the issue of Syria.
"An array of pro-Syrian parties support Assad's regime, as do many Lebanese citizens.",3PUOXASB574HRTAB389U8CJH5379Z1,"An array of pro-Syrian parties support Assad's regime, as do many Lebanese citizens."
"More opposition rallies were expected Wednesday, along with another new pro-Putin gathering in central Moscow.",3KWGG5KP6J3JQKIV03TR20OGWKSCM4,"More opposition rallies were expected Wednesday, along with another new pro-Putin gathering in central Moscow."
"Thousands of security forces were out in the Russian capital and helicopters roamed the sky Wednesday, a show of force following two days of protest.",3KWGG5KP6J3JQKIV03TR20OGWKSCM4,"Thousands of security forces were out in the Russian capital and helicopters roamed the sky Wednesday, a show of force following two days of protest."
"Authorities said Tuesday at least 51,500 police officers and 2,000 Interior Ministry troops have been deployed in Moscow since the election.",3KWGG5KP6J3JQKIV03TR20OGWKSCM4,"Authorities said Tuesday at least 51,500 police officers and 2,000 Interior Ministry troops have been deployed in Moscow since the election."
"Unlike the police, Interior Ministry troops are an armed force, largely manned by conscripts.",3KWGG5KP6J3JQKIV03TR20OGWKSCM4,"Unlike the police, Interior Ministry troops are an armed force, largely manned by conscripts."
"The Russian Union of Journalists condemned police violence and called for a probe into the dozens of attacks and arrests of journalists, describing them as ""an attempt to gag and intimidate society.""",3KWGG5KP6J3JQKIV03TR20OGWKSCM4,"The Russian Union of Journalists condemned police violence and called for a probe into the dozens of attacks and arrests of journalists, describing them as ""an attempt to gag and intimidate society."""
"On Wednesday, two video journalists working for the state-owned RIA Novosti news agency were briefly detained outside the Election Commission building where Putin was handing in his application to run.",3KWGG5KP6J3JQKIV03TR20OGWKSCM4,"On Wednesday, two video journalists working for the state-owned RIA Novosti news agency were briefly detained outside the Election Commission building where Putin was handing in his application to run."
Hajar said his cousin was not affiliated with any terrorist group.,3JUDR1D0D6SXDHOLV3B27WZZTH9Q22,Hajar said his cousin was not affiliated with any terrorist group.
CNN cannot independently verify reports of deaths and violence because the Syrian government has severely restricted access to international media.,3JUDR1D0D6SXDHOLV3B27WZZTH9Q22,CNN cannot independently verify reports of deaths and violence because the Syrian government has severely restricted access to international media.
A team of U.N. monitors is on the ground to observe the progress of a so-called cease-fire and encourage the implementation of the peace plan.,3JUDR1D0D6SXDHOLV3B27WZZTH9Q22,A team of U.N. monitors is on the ground to observe the progress of a so-called cease-fire and encourage the implementation of the peace plan.
"On Saturday, the head of the U.N. observer mission, Maj. Gen. Robert Mood, said 157 civilian and military monitors were in the provinces of Daraa, Idleb, Hama and Homs, the state-run Syrian Arab News Agency reported.",3JUDR1D0D6SXDHOLV3B27WZZTH9Q22,"On Saturday, the head of the U.N. observer mission, Maj. Gen. Robert Mood, said 157 civilian and military monitors were in the provinces of Daraa, Idleb, Hama and Homs, the state-run Syrian Arab News Agency reported."
About 300 observers are expected within weeks.,3JUDR1D0D6SXDHOLV3B27WZZTH9Q22,About 300 observers are expected within weeks.
But the observers' presence hasn't stopped the bloodshed.,3JUDR1D0D6SXDHOLV3B27WZZTH9Q22,But the observers' presence hasn't stopped the bloodshed.
"More than 1,000 people have died in Syria since a cease-fire was supposed to go into effect on April 12, according to the LCC.",3JUDR1D0D6SXDHOLV3B27WZZTH9Q22,"More than 1,000 people have died in Syria since a cease-fire was supposed to go into effect on April 12, according to the LCC."
"Obama's visit came a year after U.S. special forces troops killed al Qaeda leader Osama bin Laden, the architect of the September 11, 2001, attacks, in a raid in neighboring Pakistan.",3GL25Y6843V7TITQRZPEGD9QW1SMXP,"Obama's visit came a year after U.S. special forces troops killed al Qaeda leader Osama bin Laden, the architect of the September 11, 2001, attacks, in a raid in neighboring Pakistan."
"In a televised address to the American people from a base north of Kabul, he said the war in Afghanistan was winding down.",3GL25Y6843V7TITQRZPEGD9QW1SMXP,"In a televised address to the American people from a base north of Kabul, he said the war in Afghanistan was winding down."
"As we emerge from a decade of conflict abroad and economic crisis at home, it's time to renew America, Obama said, speaking against a backdrop of armored vehicles and a U.S. flag.",3GL25Y6843V7TITQRZPEGD9QW1SMXP,"As we emerge from a decade of conflict abroad and economic crisis at home, it's time to renew America, Obama said, speaking against a backdrop of armored vehicles and a U.S. flag."
"This time of war began in Afghanistan, and this is where it will end.",3GL25Y6843V7TITQRZPEGD9QW1SMXP,"This time of war began in Afghanistan, and this is where it will end."
"Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001.",3GL25Y6843V7TITQRZPEGD9QW1SMXP,"Nearly 3,000 U.S. and NATO soldiers have been killed in Afghanistan since the Taliban rulers were ousted in 2001."
"The Taliban, overthrown by U.S.-backed Afghan forces for harboring bin Laden and other militants, were quick to take credit for Wednesday's attack at Green Village, one of several compounds for Westerners on a main road out of the capital.",3GL25Y6843V7TITQRZPEGD9QW1SMXP,"The Taliban, overthrown by U.S.-backed Afghan forces for harboring bin Laden and other militants, were quick to take credit for Wednesday's attack at Green Village, one of several compounds for Westerners on a main road out of the capital."
"Lauren O'Neill who had only recently celebrated her birthday was killed in a gun attack in the small Northern Ireland village of Bellaghy, Co Derry, on Saturday morning.",3DWGDA5POF5IT426YY5Y80O2JGDV1E,"Lauren O'Neill who had only recently celebrated her birthday was killed in a gun attack in the small Northern Ireland village of Bellaghy, Co Derry, on Saturday morning."
Her 21-year-old sister is in a critical condition in hospital after the shooting at a house in William Court which is now at the centre of a major police investigation.,3DWGDA5POF5IT426YY5Y80O2JGDV1E,Her 21-year-old sister is in a critical condition in hospital after the shooting at a house in William Court which is now at the centre of a major police investigation.
A 26-year-old man was arrested in nearby Toomebridge on suspicion of murder within an hour of the shooting and is still being questioned by the Police Service of Northern Ireland (PSNI).,3DWGDA5POF5IT426YY5Y80O2JGDV1E,A 26-year-old man was arrested in nearby Toomebridge on suspicion of murder within an hour of the shooting and is still being questioned by the Police Service of Northern Ireland (PSNI).
"Another man and a woman, both aged 28, were arrested on suspicion of assisting an offender but were released unconditionally on Saturday night by detectives.",3DWGDA5POF5IT426YY5Y80O2JGDV1E,"Another man and a woman, both aged 28, were arrested on suspicion of assisting an offender but were released unconditionally on Saturday night by detectives."
"Since then a priest said he believed Lauren died trying to protect her sister, while Stormont deputy First Minister Martin McGuinness visited the family and said they are in trauma.",3DWGDA5POF5IT426YY5Y80O2JGDV1E,"Since then a priest said he believed Lauren died trying to protect her sister, while Stormont deputy First Minister Martin McGuinness visited the family and said they are in trauma."
Russian news agencies reported about 200 were arrested at a similar attempt to hold an unsanctioned rally in St. Petersburg and another 25 in the southern city of Rostov-on-Don.,3VO4XFFP15N4ZILR1FSX3NG75AY7QT,Russian news agencies reported about 200 were arrested at a similar attempt to hold an unsanctioned rally in St. Petersburg and another 25 in the southern city of Rostov-on-Don.
The Moscow protest ended after around 3 ½ hours and the others were broken up by police.,3VO4XFFP15N4ZILR1FSX3NG75AY7QT,The Moscow protest ended after around 3 ½ hours and the others were broken up by police.
The protests Monday and Tuesday were an unusually sustained show of indignation for the Russian opposition.,3VO4XFFP15N4ZILR1FSX3NG75AY7QT,The protests Monday and Tuesday were an unusually sustained show of indignation for the Russian opposition.
"The thousands of Russians who rallied in Moscow and St. Petersburg faced off with police and Interior Ministry troops, who detained hundreds of protesters.",3VO4XFFP15N4ZILR1FSX3NG75AY7QT,"The thousands of Russians who rallied in Moscow and St. Petersburg faced off with police and Interior Ministry troops, who detained hundreds of protesters."
"More opposition rallies were expected Wednesday, along with some pro-Putin gatherings.",3VO4XFFP15N4ZILR1FSX3NG75AY7QT,"More opposition rallies were expected Wednesday, along with some pro-Putin gatherings."
"Putin was expected to formally register later in the day to run for president, a position he held from 2000-2008, a period in which he grew more authoritarian.",3VO4XFFP15N4ZILR1FSX3NG75AY7QT,"Putin was expected to formally register later in the day to run for president, a position he held from 2000-2008, a period in which he grew more authoritarian."
A bad part of the investigation is that we may not get the why.,3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,A bad part of the investigation is that we may not get the why.
"Unless she left a note somewhere or told somebody, she may have taken it to the grave.",3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,"Unless she left a note somewhere or told somebody, she may have taken it to the grave."
"Unless she left a note somewhere or told somebody, she may have taken it to the grave.""",3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,"Unless she left a note somewhere or told somebody, she may have taken it to the grave."""
"According to Goodyear, a neighbor heard gun shots.",3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,"According to Goodyear, a neighbor heard gun shots."
Minutes later two of the children arrived on his doorstep.,3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,Minutes later two of the children arrived on his doorstep.
"One of the boys, police believe it was Joel, was covered in blood and told the neighbor his mom had shot them.",3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,"One of the boys, police believe it was Joel, was covered in blood and told the neighbor his mom had shot them."
"The oldest child, Pebbles, could be seen walking back towards the family home, Goodyear said.",3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,"The oldest child, Pebbles, could be seen walking back towards the family home, Goodyear said."
The children's mother came outside and lured the kids back into the house.,3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,The children's mother came outside and lured the kids back into the house.
"She was very calm, called them in, Goodyear said.",3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,"She was very calm, called them in, Goodyear said."
"She didn't seem to be stressed or mad, just stepped out.",3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,"She didn't seem to be stressed or mad, just stepped out."
"She walked out and said 'come home.'""",3NFWQRSHVEFQ1M6JG2LXX1PMXB8FGA,"She walked out and said 'come home.'"""
"Companies must raise £28 trillion Chinese sovereign wealth fund stops buying Euro debt Surprise weakening in China import and exports Spain nationalises Bankia as euro crisis escalates Germany warns Greece 'no bailout agreement, no aid' Bankia, in which the state is taking a 45pc stake as a crisis measure to save    it from crippling bad loans, had €37.5bn in exposure to the property sector    at the end of 2011.",38B7Q9C28G6F3JQ013CJBEQMZM769D,"Companies must raise £28 trillion Chinese sovereign wealth fund stops buying Euro debt Surprise weakening in China import and exports Spain nationalises Bankia as euro crisis escalates Germany warns Greece 'no bailout agreement, no aid' Bankia, in which the state is taking a 45pc stake as a crisis measure to save    it from crippling bad loans, had €37.5bn in exposure to the property sector    at the end of 2011."
Of that total €31.8bn were classed as problematic.,38B7Q9C28G6F3JQ013CJBEQMZM769D,Of that total €31.8bn were classed as problematic.
But the hangover from the property party extends across the financial sector.,38B7Q9C28G6F3JQ013CJBEQMZM769D,But the hangover from the property party extends across the financial sector.
"Bank of Spain figures show commercial banks held problematic real estate    assets including loans and seized property of €184bn, 60pc of their property    portfolio at the end of 2011.",38B7Q9C28G6F3JQ013CJBEQMZM769D,"Bank of Spain figures show commercial banks held problematic real estate    assets including loans and seized property of €184bn, 60pc of their property    portfolio at the end of 2011."
"Regulators in the US and elsewhere have stressed that they will be watching to make sure that the Mountain View, California-based company does not use its acquisition of Motorola Mobility to obtain unfair advantage in the market.",3NI0WFPPI9HX7P2N17TQI3PTXVG06P,"Regulators in the US and elsewhere have stressed that they will be watching to make sure that the Mountain View, California-based company does not use its acquisition of Motorola Mobility to obtain unfair advantage in the market."
"Police have arrested a man over the stabbing of a widower in Brighton Jeffrey Burrows was killed at his home in Norfolk Square in Brighton, East Sussex, on April 29.",3NI0WFPPI9HX7P2N17TQI3PTXVG06P,"Police have arrested a man over the stabbing of a widower in Brighton Jeffrey Burrows was killed at his home in Norfolk Square in Brighton, East Sussex, on April 29."
